사업장명,주사육업종,사육두수,지번주소,위도(lat),경도(lon)
상호농장,한우,9,충청남도 천안시 동남구 광덕면 매당리 78번지 외 1(44-6),36.70827414773901,127.11202535088444
덕일농장,한우,5,충청남도 천안시 동남구 목천읍 덕전리 614-2번지,36.80774092967908,127.20085920433615
형제농장,한우,45,충청남도 천안시 동남구 구룡동 344-18번지,36.76479327881508,127.14431999210595
수원농장,한우,6,충청남도 천안시 동남구 풍세면 남관리 243번지,36.7569483475364,127.11989046346022
상마농장,한우,5,충청남도 천안시 동남구 풍세면 가송리 238-8번지,36.725598267460114,127.14047203871199
신라농장,한우,9,충청남도 천안시 동남구 풍세면 보성리 491-3번지,36.7295412498348,127.11776449049535
대선농장,한우,7,충청남도 천안시 동남구 풍세면 용정리 422번지,36.735712238719,127.10657794251561
풍세메추리농장,메추리,80000,충청남도 천안시 동남구 풍세면 삼태리 83번지,36.7505384736525,127.09465181644032
삼포농장,한우,3,충청남도 천안시 동남구 풍세면 용정리 708-7번지,36.74292100932759,127.0985892459027
경선농장,한우,6,충청남도 천안시 동남구 풍세면 용정리 808번지,36.738490954861284,127.09537750324563
대왕목장,한우,20,충청남도 천안시 동남구 북면 매송리 63-1번지 외 1필지(63-3),36.80690532877377,127.279314430276
무림목장,젖소,75,충청남도 천안시 서북구 직산읍 남산리 산 5번지,,
용환목장,젖소,69,충청남도 천안시 서북구 직산읍 군동리 51번지,36.89310249538585,127.16118814581135
진규목장,젖소,40,충청남도 천안시 서북구 직산읍 군서리 93-5번지,36.899580789694134,127.15929680060566
진규목장,젖소,38,충청남도 천안시 서북구 직산읍 군서리 93-5번지,36.899580789694134,127.15929680060566
가야목장,한우,350,충청남도 천안시 동남구 성남면 대흥리 479-1번지 외 4필지,36.725015686149874,127.23054863235508
대성농원,돼지,2200,"충청남도 천안시 서북구 성환읍 왕림리 415번지 외5필지(415-2,3,9,10,11)",36.906981295174994,127.08840092905953
예안농장,한우,2,충청남도 천안시 동남구 목천읍 소사리 155-1번지 외 2필지,36.734321625845936,127.17158354396426
초하원목장,젖소,115,충청남도 천안시 서북구 성환읍 어룡리 341-10번지,36.93317481853575,127.11148326399572
칠성목장,젖소,45,충청남도 천안시 서북구 성환읍 우신리 77-10번지,36.93046852526226,127.1146215689903
복지목장,젖소,74,충청남도 천안시 서북구 성환읍 어룡리 325-5번지,36.935704267950285,127.11400101366232
연순목장,젖소,40,"충청남도 천안시 서북구 성환읍 어룡리 345-2번지 ,6 번지",36.933174097922034,127.11244235686247
황제목장,한우,70,충청남도 천안시 동남구 북면 대평리 157-1번지,36.87413117100109,127.29096889933497
불당목장,한우,27,충청남도 천안시 서북구 불당동 315번지,,
수향농장,한우,9,충청남도 천안시 서북구 성환읍 수향리 326-2번지,36.9522266791195,127.14337481682134
동열목장,한우,4,"충청남도 천안시 서북구 성환읍 와룡리 34-24번지 , 34-38, 34-39",36.957037682511796,127.09826950583576
현진농장,한우,10,충청남도 천안시 서북구 성환읍 왕림리 179번지,36.921612709927615,127.08562617377939
한우농장,한우,8,충청남도 천안시 동남구 성남면 봉양리 409-1번지,36.714546210191365,127.2443576561196
한우농장,한우,90,충청남도 천안시 동남구 성남면 봉양리 409-1번지,36.714546210191365,127.2443576561196
한우농장,한우,11,충청남도 천안시 동남구 성남면 봉양리 409-1번지,36.714546210191365,127.2443576561196
금버들축산,육계,52800,"충청남도 천안시 동남구 병천면 봉항리 375-8번지 외 2필지(375-6, 375-7)",36.83852351796703,127.3140300503923
진선목장,젖소,60,충청남도 천안시 동남구 북면 은지리 21번지 외 1필지,36.77912186523921,127.26869271791197
문성목장,젖소,110,충청남도 천안시 동남구 북면 사담리 44번지,36.83485956240789,127.26748333080201
부현농장,한우,90,"충청남도 천안시 동남구 북면 사담리 204번지 , 206-1번지",36.83756342193114,127.26357927826925
승리목장,젖소,90,충청남도 천안시 동남구 북면 납안리 209번지,36.85185592594163,127.25171037152703
흥안목장,젖소,9,충청남도 천안시 동남구 북면 납안리 산 4번지,36.85607442353704,127.2683774420163
대성목장,젖소,70,충청남도 천안시 동남구 북면 대평리 462번지 451외 1필지,36.86596456176278,127.28110441006595
김천목장,젖소,95,충청남도 천안시 동남구 북면 대평리 522번지,36.86939951941777,127.28136449953499
우진목장,젖소,45,충청남도 천안시 동남구 북면 대평리 540번지,36.869383960522505,127.27844899915927
고재목장,젖소,85,충청남도 천안시 동남구 북면 대평리 352-5번지 외 2필지,36.872946759155106,127.28452300263622
유일1목장,젖소,189,충청남도 천안시 서북구 성환읍 와룡리 199-13번지,36.95057575670242,127.09880379089846
원목장,젖소,85,충청남도 천안시 서북구 성환읍 와룡리 272-21번지,36.94917629391533,127.10277961670376
선규목장,젖소,166,충청남도 천안시 서북구 성환읍 양령리 433-2번지 외1(433-5),36.96786915853691,127.14790205833415
청정한우농장,한우,12,충청남도 천안시 동남구 광덕면 매당리 50-11번지,36.707755606992,127.10995060221501
준목장,한우,16,충청남도 천안시 동남구 풍세면 보성리 299번지,36.73723648682888,127.11972175888177
준목장,한우,0,충청남도 천안시 동남구 풍세면 보성리 299번지,36.73723648682888,127.11972175888177
혈통우농장,한우,10,충청남도 천안시 동남구 광덕면 매당리 83-11번지,36.70323786567815,127.10520503516122
천우농장,한우,94,충청남도 천안시 서북구 성환읍 양령리 149-3 외 1(149-6),36.960275458382775,127.16237210581043
기린농장,한우,12,충청남도 천안시 동남구 병천면 봉항리 38번지,36.85113692991826,127.31217341932198
기린농장,한우,58,충청남도 천안시 동남구 병천면 봉항리 38번지,36.85113692991826,127.31217341932198
조은목장,한우,96,"충청남도 천안시 동남구 광덕면 매당리 726-1번지 외 2필지(600-1, 600-7)",36.70415334687251,127.09341770822921
신전한우농장,한우,0,충청남도 천안시 서북구 입장면 신두리 193-6번지,36.92468827540553,127.19432104118415
희석목장,한우,28,충청남도 천안시 동남구 풍세면 보성리 66-1번지,36.74064346209792,127.12750051030997
도솔사슴농장,사슴,50,충청남도 천안시 동남구 성남면 용원리 123번지,36.75362679330384,127.21307029162058
농업회사법인미소한우주식회사,한우,420,충청남도 천안시 서북구 성환읍 양령리 591-6번지,36.960271799590465,127.1503752752012
일진농장,한우,500,충청남도 천안시 서북구 성환읍 양령리 544-1번지,36.96019340834954,127.1709399998735
일진농장,한우,280,충청남도 천안시 서북구 성환읍 양령리 544-1번지,36.96019340834954,127.1709399998735
늘보목장,염소,790,충청남도 천안시 동남구 동면 장송리 157-2번지 외 1필지(158),36.78527668263298,127.380102081708
연하늘,젖소,116,충청남도 천안시 서북구 성환읍 복모리 550-2번지 외 1필지(550-3,36.959483785507565,127.11634276901883
자연목장,젖소,30,충청남도 천안시 서북구 성환읍 양령리 565-1번지,36.959720182783734,127.1623891057658
경희농장,한우,13,충청남도 천안시 동남구 성남면 대흥리 281번지,36.72809159160606,127.23388003971233
