지역,공동주택명,주소,행정동,세대수,층수,동수,준공연도,관리실번호,위도(lat),경도(lon),정제된주소
천안시,목천연합초원아파트,천안시 동남구 목천안터2길 9(목천읍),,200.0,6.0,4.0,1994-06-01,041-557-3311,36.7753428735731,127.211127744608,천안시 동남구 목천안터2길 9
천안시,보라아파트,천안시 동남구 서리1길 19-9(목천읍),목천읍,110.0,15.0,1.0,1994-06-15,041-557-8453,36.7828762373679,127.234026081849,천안시 동남구 서리1길 19-9
천안시,목천연합아파트,천안시 동남구 충절로 1095(목천읍),,294.0,6.0,5.0,1995-11-09,041-557-6016,36.7717784183358,127.229429592302,천안시 동남구 충절로 1095
천안시,재동타워,천안시 동남구 서리1길 19-12(목천읍),목천읍,114.0,13.0,1.0,1995-12-14,041-557-3548,36.7835332508058,127.234248998363,천안시 동남구 서리1길 19-12
천안시,천안목천동우1차아파트,천안시 동남구 신계1길 41(목천읍),목천읍,1922.0,15.0,13.0,1997-08-05,041-555-7346~7,36.7734278731802,127.193062950803,천안시 동남구 신계1길 41
천안시,목천부영아파트(1차),천안시 동남구 삼성5길 42(목천읍),,1833.0,10.0,25.0,1999-12-27,041-561-0666,36.7590267773911,127.177249499795,천안시 동남구 삼성5길 42
천안시,목천부영아파트(2차),천안시 동남구 삼성5길 41(목천읍),,847.0,10.0,11.0,1999-12-27,041-561-0701,36.7613183058253,127.178103475136,천안시 동남구 삼성5길 41
천안시,목천프라임아파트,천안시 동남구 충절로 892(목천읍),목천읍,899.0,12.0,8.0,2000-01-18,041-557-7997,36.7733470968792,127.210764838321,천안시 동남구 충절로 892
천안시,목천세광엔리치빌아파트,천안시 동남구 충절로 687(목천읍),,290.0,7.0,7.0,2001-12-18,041-555-1250,36.7702171611399,127.189498967043,천안시 동남구 충절로 687
천안시,신도브래뉴아파트(1차),천안시 동남구 신계5길 47(목천읍),,540.0,12.0,9.0,2004-12-21,041-555-1662,36.7727338061452,127.215985500004,천안시 동남구 신계5길 47
천안시,신도브래뉴아파트(2차),천안시 동남구 목천안터2길 19(목천읍),,957.0,15.0,17.0,2005-06-29,041-566-3737,36.7761160818118,127.211200099714,천안시 동남구 목천안터2길 19
천안시,목천협성엠파이어아파트,천안시 동남구 충절로 874(목천읍),,552.0,12.0,3.0,2013-10-01,041-552-8245,36.7714193936172,127.208330396387,천안시 동남구 충절로 874
천안시,이스트블루,천안시 동남구 충절로 867(목천읍),목천읍,64.0,11.0,1.0,2019-03-12,,36.7724737726221,127.206582617683,천안시 동남구 충절로 867
천안시,목천고운라피네아파트,천안시 동남구 성남로 35(목천읍),,252.0,20.0,4.0,2020-12-28,041-552-5220,36.77014889465,127.207307906989,천안시 동남구 성남로 35
천안시,성황비둘기아파트,천안시 동남구 복자1길 17(성황동),문성동,40.0,5.0,2.0,1988-11-08,041-556-3676,36.8147327800428,127.151802149689,천안시 동남구 복자1길 17
천안시,거송그랑데리움,천안시 동남구 버들로 21(문화동),문성동,296.0,21.0,1.0,2016-03-25,041-552-1331,36.8087741215366,127.150508477532,천안시 동남구 버들로 21
천안시,류진빌,천안시 동남구 문화1길 11(문화동),문성동,77.0,10.0,1.0,2012-12-07,,36.8089699188887,127.150804039935,천안시 동남구 문화1길 11
천안시,힐스테이트천안아파트,천안시 동남구 옛시청길 29(문화동),,451.0,44.0,3.0,2021-03-16,041-523-0451,36.8069022655532,127.15020650491,천안시 동남구 옛시청길 29
천안시,천안필하우스에듀시티1단지,천안시 동남구 성황로 40(문화동),,1532.0,28.0,13.0,2022-04-19,041-622-8574~5,36.8120944375135,127.153473836838,천안시 동남구 성황로 40
천안시,천안필하우스에듀시티2단지,천안시 동남구 성황로 66,,252.0,17.0,3.0,2022-04-19,041-552-6661,36.8121039398173,127.157440893476,천안시 동남구 성황로 66
천안시,신세계아파트,천안시 동남구 병천2로 86(병천면),병천면,130.0,14.0,1.0,1993-05-07,041-564-3281,36.7677205938934,127.305372360348,천안시 동남구 병천2로 86
